tidal_strength,N_core,N_lead,N_trail,A_tail,escaped_fraction
0.0005,266,21,13,0.23529411764705882,0.11333333333333333
0.001,258,22,20,0.047619047619047616,0.14
0.002,262,12,26,-0.3684210526315789,0.12666666666666668
0.004,17,268,15,0.8939929328621908,0.9433333333333334
