tidal_strength,mean_A_tail,std_A_tail,mean_escaped_fraction,std_escaped_fraction
0.0005,0.08492651635207057,0.1521396520875701,0.14566666666666667,0.016028523957211827
0.001,0.04397823152381357,0.25758923243954635,0.153,0.02290344736572571
0.002,0.08084254545102584,0.6424220845314697,0.366,0.2280881354451919
0.004,0.10324496362903665,0.8423442813905251,0.7543333333333334,0.34787556310756784
