source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
4008790021590804736,186.71255132408672,26.267131092552084,11.665312972904443,0.02214062,-12.260803681561123,0.0215119,-8.001892578986531,0.023168584,11.541378,1.3876953,1.2728819
4009295144104998912,187.0878984678104,28.040539736589533,11.991140325066274,0.016401093,-12.712977220426861,0.016381713,-8.937862689885211,0.016736472,10.158183,0.9653988,1.3459578
4009788859185281152,184.59131963059662,27.745080418379157,11.782062478594764,0.04585344,-12.106210926539653,0.04136136,-9.522057283413634,0.036079463,16.028017,2.90477,0.9885849
3953772074643910784,186.34368543453112,23.229043390808272,11.560628994261968,0.02480884,-11.221236481102425,0.020101862,-10.598004078671345,0.022370659,8.457365,0.6208401,0.99289346
3953816570505994880,185.94666963222002,23.24565137528338,11.854892333737624,0.017628161,-12.614119361651793,0.020612555,-9.81218749312326,0.015616279,11.244143,1.2825317,0.8818922
3953876974926061056,186.35433083681642,23.847948859429884,11.274731075568715,0.024897968,-11.891925647171114,0.0206016,-7.5047100537624685,0.026231961,12.804674,1.8319912,1.242357
3960008298439044864,187.42046352904518,24.520694241805174,11.394041074106823,0.01579016,-11.164917651614905,0.0150415115,-8.520983744425688,0.018201254,9.500921,0.98794174,0.9892741
3960979957480124544,191.67721008631491,25.400058209287053,11.578241144371328,0.08971528,-12.183484706123652,0.09249807,-7.093489394976886,0.10130149,17.133593,3.214405,1.0093129
4002543008838706560,184.33913362373798,25.481211644682563,11.692540300595843,0.08135487,-11.946910325121676,0.08674919,-8.337750362897914,0.07217696,16.314262,3.0328379,1.1874827
3952684039169530752,187.35374806913921,21.780445218217533,12.149635632868025,0.01890251,-12.256725084932416,0.019462101,-9.636493100195874,0.01800781,12.888371,1.9268074,1.1550747
3953625839598043008,185.60309520631594,22.46409763719332,11.730564583723512,0.029097442,-11.721962815957403,0.02315261,-9.839903525606225,0.02208945,8.419213,0.62242985,1.0307702
4008444912378815232,186.0238327794295,26.128549682389348,11.191966430629693,0.017906323,-11.76016573811116,0.020480236,-8.727078114581401,0.016673628,10.258201,0.9562998,1.2311697
